iid,pid,attr1_1,sinc1_1,intel1_1,fun1_1,amb1_1,shar1_1,attr3_1,sinc3_1,fun3_1,intel3_1,amb3_1,attr1_1,sinc1_1,intel1_1,fun1_1,amb1_1,shar1_1,attr3_1,sinc3_1,fun3_1,intel3_1,amb3_1,dec_o
1,11,15,20,20,15,15,15,6,8,8,8,7,35,20,20,20,0,5,8,9,7,8,5,0
1,12,15,20,20,15,15,15,6,8,8,8,7,60,0,0,40,0,0,9,9,9,10,9,0
1,13,15,20,20,15,15,15,6,8,8,8,7,19,18,19,18,14,12,4,7,8,8,3,1
1,14,15,20,20,15,15,15,6,8,8,8,7,30,5,15,40,5,5,9,9,9,9,9,1
1,15,15,20,20,15,15,15,6,8,8,8,7,30,10,20,10,10,20,7,7,7,9,9,1
1,16,15,20,20,15,15,15,6,8,8,8,7,50,0,30,10,0,10,6,6,8,8,6,1
1,17,15,20,20,15,15,15,6,8,8,8,7,35,15,25,10,5,10,7,7,6,8,4,0
1,18,15,20,20,15,15,15,6,8,8,8,7,33.33,11.11,11.11,11.11,11.11,22.22,6,8,6,8,9,0
1,19,15,20,20,15,15,15,6,8,8,8,7,50,0,25,10,0,15,10,6,10,10,10,1
1,20,15,20,20,15,15,15,6,8,8,8,7,100,0,0,0,0,0,7,7,10,10,10,0
2,11,45,5,25,20,0,5,7,5,10,8,3,35,20,20,20,0,5,8,9,7,8,5,0
2,12,45,5,25,20,0,5,7,5,10,8,3,60,0,0,40,0,0,9,9,9,10,9,0
2,13,45,5,25,20,0,5,7,5,10,8,3,19,18,19,18,14,12,4,7,8,8,3,1
2,14,45,5,25,20,0,5,7,5,10,8,3,30,5,15,40,5,5,9,9,9,9,9,1
2,15,45,5,25,20,0,5,7,5,10,8,3,30,10,20,10,10,20,7,7,7,9,9,1
2,16,45,5,25,20,0,5,7,5,10,8,3,50,0,30,10,0,10,6,6,8,8,6,1
2,17,45,5,25,20,0,5,7,5,10,8,3,35,15,25,10,5,10,7,7,6,8,4,0
2,18,45,5,25,20,0,5,7,5,10,8,3,33.33,11.11,11.11,11.11,11.11,22.22,6,8,6,8,9,1
2,19,45,5,25,20,0,5,7,5,10,8,3,50,0,25,10,0,15,10,6,10,10,10,1
2,20,45,5,25,20,0,5,7,5,10,8,3,100,0,0,0,0,0,7,7,10,10,10,0
3,11,35,10,35,10,10,0,8,9,8,9,8,35,20,20,20,0,5,8,9,7,8,5,0
3,12,35,10,35,10,10,0,8,9,8,9,8,60,0,0,40,0,0,9,9,9,10,9,0
3,13,35,10,35,10,10,0,8,9,8,9,8,19,18,19,18,14,12,4,7,8,8,3,1
3,14,35,10,35,10,10,0,8,9,8,9,8,30,5,15,40,5,5,9,9,9,9,9,1
3,15,35,10,35,10,10,0,8,9,8,9,8,30,10,20,10,10,20,7,7,7,9,9,1
3,16,35,10,35,10,10,0,8,9,8,9,8,50,0,30,10,0,10,6,6,8,8,6,1
3,17,35,10,35,10,10,0,8,9,8,9,8,35,15,25,10,5,10,7,7,6,8,4,0
3,18,35,10,35,10,10,0,8,9,8,9,8,33.33,11.11,11.11,11.11,11.11,22.22,6,8,6,8,9,0
3,19,35,10,35,10,10,0,8,9,8,9,8,50,0,25,10,0,15,10,6,10,10,10,1
3,20,35,10,35,10,10,0,8,9,8,9,8,100,0,0,0,0,0,7,7,10,10,10,0
4,11,20,20,20,20,10,10,7,8,9,7,8,35,20,20,20,0,5,8,9,7,8,5,0
4,12,20,20,20,20,10,10,7,8,9,7,8,60,0,0,40,0,0,9,9,9,10,9,0
4,13,20,20,20,20,10,10,7,8,9,7,8,19,18,19,18,14,12,4,7,8,8,3,1
4,14,20,20,20,20,10,10,7,8,9,7,8,30,5,15,40,5,5,9,9,9,9,9,1
4,15,20,20,20,20,10,10,7,8,9,7,8,30,10,20,10,10,20,7,7,7,9,9,1
4,16,20,20,20,20,10,10,7,8,9,7,8,50,0,30,10,0,10,6,6,8,8,6,1
4,17,20,20,20,20,10,10,7,8,9,7,8,35,15,25,10,5,10,7,7,6,8,4,1
4,18,20,20,20,20,10,10,7,8,9,7,8,33.33,11.11,11.11,11.11,11.11,22.22,6,8,6,8,9,0
4,19,20,20,20,20,10,10,7,8,9,7,8,50,0,25,10,0,15,10,6,10,10,10,1
4,20,20,20,20,20,10,10,7,8,9,7,8,100,0,0,0,0,0,7,7,10,10,10,0
5,11,20,5,25,25,10,15,6,3,6,10,8,35,20,20,20,0,5,8,9,7,8,5,0
5,12,20,5,25,25,10,15,6,3,6,10,8,60,0,0,40,0,0,9,9,9,10,9,0
5,13,20,5,25,25,10,15,6,3,6,10,8,19,18,19,18,14,12,4,7,8,8,3,1
5,14,20,5,25,25,10,15,6,3,6,10,8,30,5,15,40,5,5,9,9,9,9,9,1
5,15,20,5,25,25,10,15,6,3,6,10,8,30,10,20,10,10,20,7,7,7,9,9,0
5,16,20,5,25,25,10,15,6,3,6,10,8,50,0,30,10,0,10,6,6,8,8,6,0
5,17,20,5,25,25,10,15,6,3,6,10,8,35,15,25,10,5,10,7,7,6,8,4,0
5,18,20,5,25,25,10,15,6,3,6,10,8,33.33,11.11,11.11,11.11,11.11,22.22,6,8,6,8,9,0
5,19,20,5,25,25,10,15,6,3,6,10,8,50,0,25,10,0,15,10,6,10,10,10,1
5,20,20,5,25,25,10,15,6,3,6,10,8,100,0,0,0,0,0,7,7,10,10,10,0
6,11,10,25,20,25,5,15,5,7,8,9,5,35,20,20,20,0,5,8,9,7,8,5,0
6,12,10,25,20,25,5,15,5,7,8,9,5,60,0,0,40,0,0,9,9,9,10,9,0
6,13,10,25,20,25,5,15,5,7,8,9,5,19,18,19,18,14,12,4,7,8,8,3,1
6,14,10,25,20,25,5,15,5,7,8,9,5,30,5,15,40,5,5,9,9,9,9,9,1
6,15,10,25,20,25,5,15,5,7,8,9,5,30,10,20,10,10,20,7,7,7,9,9,1
6,16,10,25,20,25,5,15,5,7,8,9,5,50,0,30,10,0,10,6,6,8,8,6,1
6,17,10,25,20,25,5,15,5,7,8,9,5,35,15,25,10,5,10,7,7,6,8,4,0
