iid,pid,attr1_1,sinc1_1,intel1_1,fun1_1,amb1_1,shar1_1,attr3_1,sinc3_1,fun3_1,intel3_1,amb3_1,attr1_1,sinc1_1,intel1_1,fun1_1,amb1_1,shar1_1,attr3_1,sinc3_1,fun3_1,intel3_1,amb3_1,dec_o
11,1,35,20,20,20,0,5,8,9,7,8,5,15,20,20,15,15,15,6,8,8,8,7,1
11,2,35,20,20,20,0,5,8,9,7,8,5,45,5,25,20,0,5,7,5,10,8,3,0
11,3,35,20,20,20,0,5,8,9,7,8,5,35,10,35,10,10,0,8,9,8,9,8,0
11,4,35,20,20,20,0,5,8,9,7,8,5,20,20,20,20,10,10,7,8,9,7,8,0
11,5,35,20,20,20,0,5,8,9,7,8,5,20,5,25,25,10,15,6,3,6,10,8,0
11,6,35,20,20,20,0,5,8,9,7,8,5,10,25,20,25,5,15,5,7,8,9,5,1
11,7,35,20,20,20,0,5,8,9,7,8,5,15,15,25,20,15,10,6,6,5,7,7,0
11,8,35,20,20,20,0,5,8,9,7,8,5,9.09,18.18,27.27,18.18,18.18,9.09,7,4,8,8,8,1
11,9,35,20,20,20,0,5,8,9,7,8,5,20,10,20,30,10,10,7,6,10,7,7,1
11,10,35,20,20,20,0,5,8,9,7,8,5,15,15,15,40,10,5,6,8,10,6,9,0
12,1,60,0,0,40,0,0,9,9,9,10,9,15,20,20,15,15,15,6,8,8,8,7,1
12,2,60,0,0,40,0,0,9,9,9,10,9,45,5,25,20,0,5,7,5,10,8,3,0
12,3,60,0,0,40,0,0,9,9,9,10,9,35,10,35,10,10,0,8,9,8,9,8,0
12,4,60,0,0,40,0,0,9,9,9,10,9,20,20,20,20,10,10,7,8,9,7,8,0
12,5,60,0,0,40,0,0,9,9,9,10,9,20,5,25,25,10,15,6,3,6,10,8,0
12,6,60,0,0,40,0,0,9,9,9,10,9,10,25,20,25,5,15,5,7,8,9,5,1
12,7,60,0,0,40,0,0,9,9,9,10,9,15,15,25,20,15,10,6,6,5,7,7,0
12,8,60,0,0,40,0,0,9,9,9,10,9,9.09,18.18,27.27,18.18,18.18,9.09,7,4,8,8,8,1
12,9,60,0,0,40,0,0,9,9,9,10,9,20,10,20,30,10,10,7,6,10,7,7,1
12,10,60,0,0,40,0,0,9,9,9,10,9,15,15,15,40,10,5,6,8,10,6,9,0
13,1,19,18,19,18,14,12,4,7,8,8,3,15,20,20,15,15,15,6,8,8,8,7,1
13,2,19,18,19,18,14,12,4,7,8,8,3,45,5,25,20,0,5,7,5,10,8,3,0
13,3,19,18,19,18,14,12,4,7,8,8,3,35,10,35,10,10,0,8,9,8,9,8,0
13,4,19,18,19,18,14,12,4,7,8,8,3,20,20,20,20,10,10,7,8,9,7,8,0
13,5,19,18,19,18,14,12,4,7,8,8,3,20,5,25,25,10,15,6,3,6,10,8,0
13,6,19,18,19,18,14,12,4,7,8,8,3,10,25,20,25,5,15,5,7,8,9,5,0
13,7,19,18,19,18,14,12,4,7,8,8,3,15,15,25,20,15,10,6,6,5,7,7,0
13,8,19,18,19,18,14,12,4,7,8,8,3,9.09,18.18,27.27,18.18,18.18,9.09,7,4,8,8,8,1
13,9,19,18,19,18,14,12,4,7,8,8,3,20,10,20,30,10,10,7,6,10,7,7,1
13,10,19,18,19,18,14,12,4,7,8,8,3,15,15,15,40,10,5,6,8,10,6,9,1
14,1,30,5,15,40,5,5,9,9,9,9,9,15,20,20,15,15,15,6,8,8,8,7,1
14,2,30,5,15,40,5,5,9,9,9,9,9,45,5,25,20,0,5,7,5,10,8,3,1
14,3,30,5,15,40,5,5,9,9,9,9,9,35,10,35,10,10,0,8,9,8,9,8,0
14,4,30,5,15,40,5,5,9,9,9,9,9,20,20,20,20,10,10,7,8,9,7,8,1
14,5,30,5,15,40,5,5,9,9,9,9,9,20,5,25,25,10,15,6,3,6,10,8,1
14,6,30,5,15,40,5,5,9,9,9,9,9,10,25,20,25,5,15,5,7,8,9,5,1
14,7,30,5,15,40,5,5,9,9,9,9,9,15,15,25,20,15,10,6,6,5,7,7,1
14,8,30,5,15,40,5,5,9,9,9,9,9,9.09,18.18,27.27,18.18,18.18,9.09,7,4,8,8,8,1
14,9,30,5,15,40,5,5,9,9,9,9,9,20,10,20,30,10,10,7,6,10,7,7,1
14,10,30,5,15,40,5,5,9,9,9,9,9,15,15,15,40,10,5,6,8,10,6,9,0
15,1,30,10,20,10,10,20,7,7,7,9,9,15,20,20,15,15,15,6,8,8,8,7,1
15,2,30,10,20,10,10,20,7,7,7,9,9,45,5,25,20,0,5,7,5,10,8,3,0
15,3,30,10,20,10,10,20,7,7,7,9,9,35,10,35,10,10,0,8,9,8,9,8,0
